Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-08-01","3,708","14,531","11.26","12","1,021","201","6","125","2,098"
"2019-08-02","2,096","1,327","1.05","3","1,385","55","0","0","243"
"2019-08-03","3,068","10,998","9.91","18","1,188","163","30","59","1,416"
"2019-08-04","3,012","11,420","8.81","24","1,195","168","19","58","1,363"
"2019-08-05","2,455","3,601","2.77","5","1,297","131","6","6","662"
"2019-08-06","3,046","11,244","8.56","22","1,208","140","28","64","1,357"
"2019-08-07","2,633","4,925","3.79","5","1,232","200","4","4","908"
"2019-08-08","3,315","12,079","10.06","10","1,145","237","15","43","1,659"
"2019-08-09","2,941","7,103","5.47","10","1,171","260","9","0","1,319"
"2019-08-10","3,490","11,648","8.97","27","1,013","403","14","10","2,017"
"2019-08-11","2,920","6,552","5.05","9","1,151","289","0","0","1,289"
"2019-08-12","2,070","815","0.63","1","1,391","49","0","0","194"
"2019-08-13","2,589","5,011","3.86","8","1,235","205","0","0","896"
"2019-08-14","2,623","5,113","3.94","10","1,238","202","0","0","883"
"2019-08-15","2,598","5,189","4","8","1,155","189","0","0","880"
"2019-08-16","2,218","1,941","1.5","5","1,341","99","0","0","416"
"2019-08-17","2,997","13,497","13.27","0","1,271","105","32","32","1,313"
"2019-08-18","3,362","4,932","3.8","9","1,077","217","0","60","1,639"
"2019-08-19","3,057","11,605","8.87","22","1,192","159","29","60","1,412"
"2019-08-20","2,380","3,087","2.41","4","1,308","132","0","0","606"
"2019-08-21","3,271","12,258","9.45","23","1,159","175","32","74","1,667"
"2019-08-22","2,491","3,210","2.47","6","1,183","173","0","0","723"
"2019-08-23","2,286","2,508","1.97","2","1,328","112","0","0","488"
"2019-08-24","3,144","11,515","8.88","22","1,155","203","21","61","1,542"
"2019-08-25","2,984","6,437","4.98","9","1,166","222","52","0","1,325"
"2019-08-26","3,294","12,774","9.85","24","1,123","219","32","66","1,741"
"2019-08-27","3,688","16,922","13.05","109","777","251","34","70","2,088"
"2019-08-28","2,532","3,568","2.75","7","1,184","159","0","0","705"
"2019-08-29","2,535","3,868","2.98","1","1,188","190","0","0","799"
"2019-08-30","2,113","1,009","0.78","2","1,387","53","0","0","223"
"2019-08-31","2,372","4,346","4.32","2","1,339","101","0","0","587"

