Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-12-01","3,307","8,502","6.56","19","1,138","257","40","5","1,591"
"2018-12-02","2,775","5,726","4.42","15","1,222","197","21","0","1,047"
"2018-12-03","2,728","5,009","3.87","9","1,248","178","9","5","944"
"2018-12-04","2,882","4,342","3.35","7","1,215","215","10","0","1,065"
"2018-12-05","2,568","3,482","2.69","7","1,276","164","0","0","762"
"2018-12-06","2,491","2,858","2.21","8","1,286","145","8","1","679"
"2018-12-07","1,917","0","0","0","1,440","0","0","0","0"
"2018-12-08","3,148","7,242","5.59","16","1,136","261","43","0","1,452"
"2018-12-09","3,147","10,801","8.34","19","1,205","142","36","57","1,447"
"2018-12-10","3,377","9,963","7.69","32","1,117","268","24","31","1,742"
"2018-12-11","2,476","3,296","2.54","5","1,301","139","0","0","628"
"2018-12-12","2,969","9,692","7.48","16","1,222","160","16","42","1,272"
"2018-12-13","3,140","8,153","6.62","17","1,219","176","11","34","1,325"
"2018-12-14","2,881","8,375","6.47","21","1,223","180","15","22","1,164"
"2018-12-15","2,888","9,411","7.27","14","1,236","129","38","37","1,182"
"2018-12-16","2,553","4,025","3.11","13","1,264","168","5","3","778"
"2018-12-17","2,399","3,167","2.44","8","1,314","126","0","0","570"
"2018-12-18","2,760","8,883","6.86","13","1,330","73","8","29","673"
"2018-12-19","2,689","4,837","3.73","10","1,255","156","29","0","925"
"2018-12-20","1,917","0","0","12","1,440","0","0","0","0"
"2018-12-21","1,917","0","0","1","1,440","0","0","0","0"
"2018-12-22","1,917","0","0","14","1,440","0","0","0","0"
"2018-12-23","1,917","0","0","5","1,440","0","0","0","0"
"2018-12-24","1,917","0","0","14","1,440","0","0","0","0"
"2018-12-25","1,917","0","0","16","1,440","0","0","0","0"
"2018-12-26","1,917","0","0","9","1,440","0","0","0","0"
"2018-12-27","1,917","0","0","9","1,440","0","0","0","0"
"2018-12-28","1,917","0","0","1","1,440","0","0","0","0"
"2018-12-29","2,529","3,936","3.04","7","1,440","0","0","0","0"
"2018-12-30","2,539","5,152","3.98","10","1,440","0","0","0","0"
"2018-12-31","2,782","5,440","4.2","11","1,440","0","0","0","0"

