Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-02-01","2,735","4,931","3.8","12","1,233","201","5","1","958"
"2019-02-02","2,739","5,643","4.35","13","1,136","242","0","0","1,044"
"2019-02-03","4,204","11,949","9.2","13","893","506","36","5","2,825"
"2019-02-04","3,815","13,245","10.2","32","928","503","9","0","2,484"
"2019-02-05","2,518","3,899","3","8","1,258","182","0","0","776"
"2019-02-06","2,892","8,581","6.61","18","1,181","227","10","22","1,236"
"2019-02-07","2,492","3,289","2.53","8","1,250","190","0","0","747"
"2019-02-08","2,043","592","0.46","1","1,402","38","0","0","156"
"2019-02-09","2,746","4,919","3.79","11","1,198","242","0","0","1,065"
"2019-02-10","2,645","4,318","3.32","6","1,211","229","0","0","931"
"2019-02-11","2,819","5,738","5.12","3","1,269","143","6","22","1,039"
"2019-02-12","2,523","5,465","4.32","12","1,270","170","0","0","808"
"2019-02-13","3,317","7,994","6.16","12","1,119","277","36","8","1,685"
"2019-02-14","3,216","8,389","6.48","17","1,343","97","0","0","509"
"2019-02-15","2,683","4,790","3.7","12","1,377","63","0","0","245"
"2019-02-16","3,004","10,667","10.27","20","1,313","65","17","45","1,035"
"2019-02-17","3,376","12,564","9.7","22","1,344","76","6","14","916"
"2019-02-18","2,862","6,737","5.2","10","1,393","47","0","0","231"
"2019-02-19","2,863","9,408","7.97","11","1,344","74","2","20","813"
"2019-02-20","2,206","2,859","2.89","9","1,374","66","0","0","377"
"2019-02-21","2,627","9,522","8.09","19","1,341","99","0","0","841"
"2019-02-22","2,620","3,575","2.76","5","1,391","49","0","0","195"
"2019-02-23","2,846","8,686","7.73","8","1,250","131","12","47","1,096"
"2019-02-24","2,966","4,389","3.38","8","1,116","206","33","7","1,239"
"2019-02-25","2,667","5,487","4.23","12","1,231","209","0","0","932"
"2019-02-26","3,263","11,248","8.67","17","1,163","190","36","51","1,546"
"2019-02-27","2,658","5,783","4.46","15","1,249","191","0","0","911"
"2019-02-28","2,616","4,306","3.35","8","1,264","169","6","1","813"

