Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-04-01","2,465","4,554","3.51","18","1,317","111","3","9","629"
"2019-04-02","2,709","3,822","2.94","2","1,241","173","18","8","969"
"2019-04-03","2,581","3,895","3.07","8","1,311","87","12","30","804"
"2019-04-04","2,723","5,715","4.4","15","1,137","143","5","29","937"
"2019-04-05","2,957","2,794","2.15","1","1,240","122","38","40","1,277"
"2019-04-06","3,369","9,987","7.7","20","1,153","188","49","50","1,683"
"2019-04-07","3,520","12,769","9.84","23","1,052","327","15","46","2,027"
"2019-04-08","3,218","5,613","4.32","8","1,130","280","28","2","1,537"
"2019-04-09","3,544","14,089","10.86","28","1,076","249","49","66","2,008"
"2019-04-10","2,910","10,347","7.98","16","1,201","177","28","34","1,255"
"2019-04-11","2,875","7,619","5.87","9","1,174","246","15","5","1,249"
"2019-04-12","2,531","4,713","3.63","28","1,277","137","15","11","785"
"2019-04-13","3,240","12,501","9.64","34","1,036","227","38","46","1,654"
"2019-04-14","3,489","13,564","10.46","28","1,122","211","42","65","1,906"
"2019-04-15","2,725","4,345","3.34","11","1,143","218","10","0","1,021"
"2019-04-16","3,769","13,487","10.4","33","900","277","20","76","2,186"
"2019-04-17","2,506","6,034","4.65","27","1,318","81","12","29","723"
"2019-04-18","1,913","0","0","12","1,440","0","0","0","0"
"2019-04-19","1,913","0","0","0","1,440","0","0","0","0"
"2019-04-20","1,946","161","0.12","7","1,430","10","0","0","38"
"2019-04-21","2,312","2,221","1.71","8","1,321","119","0","0","480"
"2019-04-22","3,429","13,993","10.79","30","1,118","218","47","57","1,840"
"2019-04-23","2,978","7,495","5.78","24","1,130","196","8","22","1,240"
"2019-04-24","3,032","10,273","7.93","24","1,225","121","30","64","1,340"
"2019-04-25","4,080","10,567","8.16","127","1,005","332","31","72","2,518"
"2019-04-26","4,507","17,852","13.86","113","927","367","68","78","3,041"
"2019-04-27","3,423","9,012","6.94","7","1,101","307","24","8","1,715"
"2019-04-28","2,860","9,362","7.22","11","1,199","189","25","27","1,207"
"2019-04-29","2,777","6,536","5.27","6","1,165","174","20","7","1,052"
"2019-04-30","3,529","13,808","10.65","37","1,141","179","34","86","1,882"

