Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-08-01","2,769","6,210","4.79","25","1,217","179","42","2","1,092"
"2018-08-02","3,336","12,200","9.46","18","1,101","165","19","78","1,685"
"2018-08-03","1,882","0","0","0","1,440","0","0","0","0"
"2018-08-04","1,882","0","0","0","1,440","0","0","0","0"
"2018-08-05","3,027","11,404","8.8","26","1,217","128","35","60","1,366"
"2018-08-06","2,631","5,002","3.86","18","1,295","130","5","10","779"
"2018-08-07","2,484","3,147","2.43","7","1,335","64","14","27","672"
"2018-08-08","3,209","9,989","7.71","14","1,170","148","66","56","1,597"
"2018-08-09","3,176","8,564","6.65","15","1,107","188","39","41","1,512"
"2018-08-10","2,136","865","0.67","2","1,384","56","0","0","283"
"2018-08-11","2,892","8,017","6.19","14","1,102","90","49","51","1,190"
"2018-08-12","2,776","6,275","4.84","15","1,189","158","21","12","1,006"
"2018-08-13","1,882","0","0","0","1,440","0","0","0","0"
"2018-08-14","2,884","9,325","7.2","39","1,169","137","12","46","1,189"
"2018-08-15","2,656","5,339","4.12","19","1,240","191","8","1","896"
"2018-08-16","3,313","10,429","8.05","16","1,158","194","35","53","1,630"
"2018-08-17","1,883","0","0","0","1,440","0","0","0","0"
"2018-08-18","3,100","12,902","9.96","21","1,221","119","28","72","1,414"
"2018-08-19","2,407","3,001","2.32","11","1,314","126","0","0","572"
"2018-08-20","2,497","3,215","2.48","8","1,260","180","0","0","732"
"2018-08-21","1,882","0","0","0","1,440","0","0","0","0"
"2018-08-22","2,347","3,668","2.83","8","1,224","103","4","9","570"
"2018-08-23","2,395","3,587","2.77","13","1,306","134","0","0","615"
"2018-08-24","1,883","0","0","0","1,440","0","0","0","0"
"2018-08-25","2,983","9,334","7.21","13","1,258","79","35","68","1,242"
"2018-08-26","3,328","12,129","9.36","16","1,153","174","63","50","1,702"
"2018-08-27","2,440","3,866","2.98","14","1,302","138","0","0","618"
"2018-08-28","1,883","0","0","0","1,440","0","0","0","0"
"2018-08-29","2,461","5,359","4.14","12","1,324","78","12","26","648"
"2018-08-30","2,844","7,839","6.05","8","1,268","78","36","58","1,160"
"2018-08-31","2,398","2,913","2.25","5","1,307","133","0","0","587"

