Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-05-01","3,465","13,128","10.13","37","1,111","239","21","69","1,855"
"2019-05-02","2,848","5,572","4.29","10","893","239","0","0","1,076"
"2019-05-03","2,260","2,634","2.26","4","1,387","25","13","15","355"
"2019-05-04","2,721","6,029","4.65","9","1,259","158","17","6","891"
"2019-05-05","2,795","4,780","3.69","4","1,247","193","0","0","974"
"2019-05-06","3,133","10,938","8.44","25","1,205","150","24","61","1,407"
"2019-05-07","2,388","3,324","2.56","5","1,121","152","0","0","621"
"2019-05-08","2,461","3,262","2.51","4","1,078","158","0","0","652"
"2019-05-09","2,503","3,791","2.92","10","1,132","167","0","0","735"
"2019-05-10","2,090","1,785","1.38","4","1,388","40","3","9","257"
"2019-05-11","3,533","12,418","9.57","60","934","253","33","55","1,928"
"2019-05-12","2,609","3,983","3.07","20","1,245","182","7","6","879"
"2019-05-13","2,381","2,805","2.16","8","1,304","136","0","0","576"
"2019-05-14","2,841","7,978","6.15","14","1,068","175","14","28","1,116"
"2019-05-15","2,262","2,422","1.87","7","1,332","108","0","0","455"
"2019-05-16","2,396","2,729","2.1","10","1,110","130","9","2","616"
"2019-05-17","2,509","6,778","7.05","1","1,360","70","1","9","721"
"2019-05-18","2,668","4,856","3.8","26","1,258","154","11","17","950"
"2019-05-19","2,534","4,665","3.6","7","1,274","166","0","0","775"
"2019-05-20","2,367","3,161","2.43","8","1,293","147","0","0","613"
"2019-05-21","2,256","2,437","1.88","2","1,325","115","0","0","473"
"2019-05-22","2,574","4,488","3.46","8","1,078","187","11","0","872"
"2019-05-23","2,572","5,314","4.09","11","1,261","170","4","5","837"
"2019-05-24","1,900","117","0.09","0","1,428","12","0","0","41"
"2019-05-25","2,472","3,513","2.7","12","1,163","178","0","0","724"
"2019-05-26","2,262","2,360","1.82","6","1,328","112","0","0","450"
"2019-05-27","2,569","3,478","2.68","36","1,283","135","13","9","867"
"2019-05-28","2,725","7,361","5.67","25","1,241","154","17","28","1,008"
"2019-05-29","2,471","3,496","2.69","10","1,275","165","0","0","700"
"2019-05-30","2,147","2,234","2.01","12","1,363","77","0","0","349"
"2019-05-31","1,938","204","0.16","0","1,424","16","0","0","58"

