Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-01-01","2,672","5,434","4.2","19","1,268","165","6","1","880"
"2019-01-02","3,207","8,146","6.47","17","1,202","161","36","41","1,455"
"2019-01-03","2,303","2,296","1.77","9","1,351","89","0","0","417"
"2019-01-04","2,217","1,306","1.01","4","1,366","74","0","0","338"
"2019-01-05","2,166","2,818","2.18","9","1,380","43","10","7","306"
"2019-01-06","2,463","2,738","2.11","4","1,310","120","9","1","628"
"2019-01-07","3,258","11,348","8.75","19","1,178","165","53","44","1,579"
"2019-01-08","2,746","3,076","2.37","7","1,258","160","20","2","867"
"2019-01-09","2,934","8,333","6.42","24","1,231","154","12","43","1,158"
"2019-01-10","2,471","3,095","2.38","10","1,301","139","0","0","610"
"2019-01-11","2,357","2,250","1.89","1","1,327","113","0","0","507"
"2019-01-12","3,159","10,736","8.28","20","1,176","191","27","46","1,525"
"2019-01-13","2,951","5,950","4.58","17","1,218","171","23","28","1,203"
"2019-01-14","2,575","4,362","3.36","6","1,276","164","0","0","737"
"2019-01-15","2,894","5,177","3.99","13","1,076","177","38","0","1,097"
"2019-01-16","2,845","5,468","4.21","13","1,244","183","6","7","993"
"2019-01-17","2,410","2,769","2.13","6","1,315","125","0","0","576"
"2019-01-18","2,352","1,963","1.51","3","1,331","109","0","0","483"
"2019-01-19","2,805","4,838","3.72","16","1,207","233","0","0","1,053"
"2019-01-20","2,787","7,958","6.14","9","1,271","101","22","46","1,026"
"2019-01-21","3,190","6,703","5.19","15","1,121","302","14","3","1,457"
"2019-01-22","3,495","14,472","11.16","37","1,030","175","40","86","1,901"
"2019-01-23","3,150","6,827","5.27","16","1,113","317","9","1","1,531"
"2019-01-24","2,355","2,850","2.38","5","1,346","83","1","10","498"
"2019-01-25","2,014","749","0.76","0","1,413","27","0","0","131"
"2019-01-26","3,018","7,580","5.84","13","1,215","144","52","29","1,296"
"2019-01-27","3,818","13,004","10.02","40","1,062","235","64","79","2,256"
"2019-01-28","3,318","10,940","8.43","26","1,072","321","30","17","1,826"
"2019-01-29","3,713","12,317","9.49","42","971","420","43","6","2,344"
"2019-01-30","3,168","10,163","7.84","34","1,191","190","32","27","1,398"
"2019-01-31","3,082","6,051","4.66","16","1,186","241","11","2","1,319"

