Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-09-01","3,011","9,706","7.49","17","1,225","117","42","56","1,305"
"2018-09-02","2,734","7,234","5.58","27","1,267","127","22","24","948"
"2018-09-03","3,332","8,683","6.7","47","1,127","280","15","18","1,651"
"2018-09-04","1,883","0","0","0","1,440","0","0","0","0"
"2018-09-05","2,721","6,123","4.73","9","1,256","139","25","20","960"
"2018-09-06","3,086","9,206","7.11","10","1,220","141","34","45","1,354"
"2018-09-07","2,557","4,677","3.61","12","1,288","136","4","12","793"
"2018-09-08","2,988","9,750","7.53","12","1,086","101","59","52","1,303"
"2018-09-09","3,145","4,675","3.61","13","1,047","180","31","38","1,435"
"2018-09-10","2,715","3,915","3.02","14","1,267","154","10","9","908"
"2018-09-11","2,769","4,678","3.61","13","1,254","140","14","32","999"
"2018-09-12","3,147","11,995","9.26","22","1,195","153","30","62","1,480"
"2018-09-13","3,095","8,244","6.36","21","1,172","221","31","16","1,419"
"2018-09-14","2,098","1,051","0.81","3","1,390","50","0","0","243"
"2018-09-15","2,707","6,462","4.99","20","1,262","152","12","14","912"
"2018-09-16","2,729","4,958","3.83","11","1,257","136","19","28","997"
"2018-09-17","2,329","2,564","1.98","3","1,324","116","0","0","534"
"2018-09-18","2,817","5,016","3.87","14","1,220","173","40","7","1,069"
"2018-09-19","1,878","0","0","0","1,440","0","0","0","0"
"2018-09-20","2,583","4,136","3.19","10","1,288","131","15","6","829"
"2018-09-21","2,955","6,034","4.66","19","1,206","165","23","46","1,316"
"2018-09-22","4,912","9,032","7.19","23","1,353","41","12","34","650"
"2018-09-23","2,761","5,979","4.62","20","1,224","209","6","1","1,039"
"2018-09-24","2,756","5,198","4.01","12","1,259","157","4","20","985"
"2018-09-25","3,432","9,813","7.81","13","1,141","202","37","60","1,766"
"2018-09-26","3,147","14,793","11.42","24","1,176","153","77","34","1,505"
"2018-09-27","1,878","0","0","0","1,440","0","0","0","0"
"2018-09-28","1,881","8","0.01","0","1,439","1","0","0","3"
"2018-09-29","1,878","0","0","0","1,440","0","0","0","0"
"2018-09-30","2,491","4,600","3.55","13","1,137","128","11","7","712"

