Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-06-01","2,432","5,024","5.18","16","1,308","110","2","20","704"
"2019-06-02","2,196","2,791","2.68","8","1,366","74","0","0","390"
"2019-06-03","2,474","5,750","6","18","1,316","102","2","20","734"
"2019-06-04","2,014","877","0.87","1","1,407","33","0","0","153"
"2019-06-05","2,117","1,851","1.79","27","1,378","57","5","0","295"
"2019-06-06","2,631","6,852","5.51","64","1,303","87","5","45","880"
"2019-06-07","3,380","10,870","8.65","44","1,144","215","48","33","1,739"
"2019-06-08","2,863","4,969","3.82","7","1,204","236","0","0","1,054"
"2019-06-09","2,969","9,738","7.51","29","1,263","83","13","81","1,261"
"2019-06-10","3,477","9,070","7.03","24","1,125","207","51","57","1,819"
"2019-06-11","3,934","16,703","13.85","53","1,068","266","31","75","2,367"
"2019-06-12","2,856","5,417","4.17","12","1,095","285","0","0","1,188"
"2019-06-13","3,393","10,607","8.17","43","1,135","235","10","60","1,750"
"2019-06-14","2,218","1,078","0.83","1","1,367","73","0","0","327"
"2019-06-15","2,907","10,211","7.87","15","1,252","102","17","69","1,194"
"2019-06-16","2,910","10,408","8.03","33","1,253","92","35","60","1,211"
"2019-06-17","3,147","7,331","5.66","12","1,108","332","0","0","1,476"
"2019-06-18","2,924","6,063","4.7","19","802","277","0","0","1,208"
"2019-06-19","2,704","5,105","3.93","16","1,222","207","2","9","964"
"2019-06-20","2,750","5,865","4.52","12","1,237","183","6","14","975"
"2019-06-21","2,738","5,230","4.05","9","1,238","184","5","13","1,015"
"2019-06-22","3,244","12,980","10.04","28","1,178","158","23","81","1,576"
"2019-06-23","3,012","10,575","8.15","24","1,214","149","19","58","1,305"
"2019-06-24","2,823","6,751","5.21","22","1,156","284","0","0","1,222"
"2019-06-25","2,771","5,317","4.12","7","1,146","206","12","9","1,055"
"2019-06-26","3,441","15,481","11.94","35","1,116","223","28","73","1,879"
"2019-06-27","2,864","6,875","5.29","12","1,123","254","0","0","1,180"
"2019-06-28","2,020","717","0.55","0","1,393","47","0","0","175"
"2019-06-29","2,018","1,001","0.92","4","1,406","34","0","0","156"
"2019-06-30","2,993","11,904","13.34","53","1,318","94","4","24","1,247"

