Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-10-01","2,609","4,114","3.18","11","1,271","162","7","0","776"
"2018-10-02","3,249","10,865","8.39","23","1,139","246","45","10","1,659"
"2018-10-03","3,080","8,885","6.86","21","1,185","177","50","28","1,419"
"2018-10-04","2,809","5,634","4.35","7","1,232","178","17","13","1,025"
"2018-10-05","1,878","0","0","0","1,440","0","0","0","0"
"2018-10-06","1,877","0","0","0","1,440","0","0","0","0"
"2018-10-07","2,311","4,525","3.49","8","1,362","45","5","28","499"
"2018-10-08","3,914","16,959","13.3","20","1,071","207","58","104","2,345"
"2018-10-09","2,455","3,680","2.84","7","1,294","134","8","4","677"
"2018-10-10","1,877","0","0","0","1,440","0","0","0","0"
"2018-10-11","3,236","9,141","7.06","17","1,171","185","36","48","1,583"
"2018-10-12","2,703","298","0.23","2","1,329","19","19","73","940"
"2018-10-13","2,614","4,627","3.57","16","1,256","172","5","7","846"
"2018-10-14","3,048","6,883","5.31","16","1,128","199","25","17","1,282"
"2018-10-15","2,393","2,765","2.13","5","1,206","148","0","0","629"
"2018-10-16","2,417","4,144","3.2","13","1,303","137","0","0","642"
"2018-10-17","3,088","7,253","6.04","14","1,193","182","30","35","1,406"
"2018-10-18","2,257","2,504","1.93","8","1,261","110","0","0","471"
"2018-10-19","3,716","12,354","9.54","134","1,145","137","63","95","2,123"
"2018-10-20","2,185","1,465","1.13","2","1,346","94","0","0","375"
"2018-10-21","3,232","8,011","6.41","11","1,173","171","51","45","1,575"
"2018-10-22","2,931","6,098","4.71","14","1,176","247","12","5","1,234"
"2018-10-23","3,855","14,369","11.09","17","1,097","221","42","80","2,238"
"2018-10-24","2,400","3,350","2.59","9","1,316","124","0","0","584"
"2018-10-25","3,122","7,290","5.63","21","1,172","216","24","28","1,434"
"2018-10-26","2,693","3,342","2.58","7","1,276","140","16","8","939"
"2018-10-27","3,431","9,159","7.07","27","1,127","235","55","23","1,758"
"2018-10-28","2,431","3,524","2.72","14","1,216","139","0","0","629"
"2018-10-29","2,975","6,008","4.64","19","1,170","250","16","4","1,267"
"2018-10-30","2,329","2,161","1.67","7","1,317","123","0","0","513"
"2018-10-31","2,843","6,399","4.94","13","1,114","214","20","1","1,166"

