Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-03-01","2,796","5,549","4.27","12","1,235","193","4","8","1,027"
"2019-03-02","2,818","6,094","4.69","3","1,188","245","5","2","1,130"
"2019-03-03","3,005","9,523","7.34","11","1,192","182","24","42","1,290"
"2019-03-04","2,857","5,022","3.87","6","1,135","239","0","0","1,091"
"2019-03-05","2,662","4,000","3.08","4","1,243","171","16","10","894"
"2019-03-06","3,318","13,127","10.12","23","1,138","205","40","57","1,698"
"2019-03-07","3,018","7,829","6.03","12","1,176","238","12","14","1,329"
"2019-03-08","2,678","4,561","3.97","3","1,240","200","0","0","935"
"2019-03-09","3,277","13,401","10.35","23","1,170","193","16","61","1,593"
"2019-03-10","2,888","8,015","6.18","19","1,228","179","13","20","1,103"
"2019-03-11","3,443","14,111","11.03","81","1,035","161","12","93","1,773"
"2019-03-12","2,546","3,674","2.84","4","1,261","179","0","0","764"
"2019-03-13","2,565","3,621","2.79","6","1,259","181","0","0","767"
"2019-03-14","2,850","5,599","4.31","8","1,177","252","10","1","1,182"
"2019-03-15","1,972","317","0.24","0","1,416","24","0","0","86"
"2019-03-16","3,490","14,350","11.06","33","1,129","185","67","59","1,880"
"2019-03-17","3,149","9,876","7.65","25","1,163","229","18","30","1,456"
"2019-03-18","2,910","10,509","8.1","29","1,232","128","27","53","1,204"
"2019-03-19","4,009","19,596","15.11","50","1,043","239","67","91","2,493"
"2019-03-20","2,291","3,259","3.13","1","1,348","92","0","0","482"
"2019-03-21","2,180","1,818","1.4","0","1,340","100","0","0","385"
"2019-03-22","4,645","5,934","4.83","4","1,256","116","27","41","1,112"
"2019-03-23","2,651","5,794","4.47","17","1,288","101","28","23","880"
"2019-03-24","2,262","1,627","1.25","3","1,352","88","0","0","428"
"2019-03-25","2,667","4,211","3.24","4","1,243","179","16","2","905"
"2019-03-26","2,756","4,643","3.58","2","1,229","200","8","3","1,023"
"2019-03-27","3,651","15,377","11.86","53","1,124","166","42","108","2,054"
"2019-03-28","3,040","7,481","5.77","16","1,107","234","20","7","1,306"
"2019-03-29","2,651","4,124","3.17","3","1,223","217","0","0","938"
"2019-03-30","3,669","15,644","12.06","30","1,071","250","34","85","2,162"
"2019-03-31","2,332","2,585","1.99","3","1,316","124","0","0","523"

