Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-07-01","2,120","2,105","1.88","12","1,379","61","0","0","293"
"2019-07-02","3,050","12,462","13.94","31","1,295","88","3","54","1,335"
"2019-07-03","2,474","5,532","5.56","12","1,309","131","0","0","740"
"2019-07-04","2,185","2,579","2.21","14","1,351","89","0","0","396"
"2019-07-05","2,729","4,249","3.28","13","1,347","93","0","0","413"
"2019-07-06","2,930","8,514","6.72","41","1,374","66","0","0","652"
"2019-07-07","2,193","2,579","2.31","3","1,352","88","0","0","402"
"2019-07-08","3,285","9,019","6.96","22","1,301","117","1","21","834"
"2019-07-09","2,858","8,036","6.45","14","1,226","178","16","20","1,088"
"2019-07-10","3,118","10,070","7.76","35","1,201","164","13","62","1,450"
"2019-07-11","3,079","7,334","5.66","12","1,008","262","16","6","1,403"
"2019-07-12","2,203","1,600","1.23","1","1,346","94","0","0","375"
"2019-07-13","3,028","6,594","5.08","22","1,160","254","18","8","1,353"
"2019-07-14","3,318","13,478","10.39","31","1,133","210","25","72","1,743"
"2019-07-15","2,999","8,425","6.48","20","1,204","147","42","47","1,338"
"2019-07-16","2,971","10,200","8.15","23","1,115","128","23","63","1,291"
"2019-07-17","3,046","5,820","4.28","7","1,117","189","28","39","1,381"
"2019-07-18","3,626","14,050","8.92","4","1,081","193","5","95","1,942"
"2019-07-19","2,275","2,598","2","2","852","107","0","0","473"
"2019-07-20","3,063","6,284","4.85","14","827","263","4","9","1,304"
"2019-07-21","2,961","5,600","3.82","6","779","180","19","32","1,222"
"2019-07-22","3,211","11,491","9.17","23","769","179","37","56","1,532"
"2019-07-23","3,253","8,179","6.18","20","838","254","29","28","1,616"
"2019-07-24","3,272","5,501","4.24","11","802","177","18","53","1,536"
"2019-07-25","2,553","4,169","3.21","5","973","168","0","0","766"
"2019-07-26","2,450","3,099","2.39","8","1,289","151","0","0","651"
"2019-07-27","3,106","9,782","7.51","13","722","268","22","20","1,503"
"2019-07-28","3,150","3,668","2.85","8","1,214","153","12","61","1,439"
"2019-07-29","2,802","6,700","5.35","11","1,230","178","10","22","1,037"
"2019-07-30","3,002","10,151","14.55","19","693","172","24","48","1,329"
"2019-07-31","3,411","6,040","4.65","7","848","242","1","60","1,754"

